controller,rtt_ms,loss_pct,rate_mbps,cwnd,inflight,bodies,queue_bytes,dropped
DELAY-CC (latency-aware),208.9,0.0,0.161,5000,7052,1000,7052,0
DELAY-CC (latency-aware),215.9,0.0,0.166,5000,7052,1000,7052,0
DELAY-CC (latency-aware),214.8,0.0,0.157,5000,7052,1000,0,0
DELAY-CC (latency-aware),217.5,0.0,0.212,5000,7052,1000,7052,0
DELAY-CC (latency-aware),222.7,0.0,0.169,5000,7052,1000,7052,0
DELAY-CC (latency-aware),221.4,0.0,0.157,5000,7052,1000,7052,0
DELAY-CC (latency-aware),217.2,0.0,0.162,5000,7052,1000,0,0
DELAY-CC (latency-aware),213.7,0.0,0.212,5000,7052,1000,7052,0
DELAY-CC (latency-aware),211.8,0.0,0.161,5000,7052,1000,7052,0
DELAY-CC (latency-aware),212.1,0.0,0.154,5000,7052,1000,0,0
DELAY-CC (latency-aware),204.4,0.0,0.209,5000,7052,1000,7052,0
DELAY-CC (latency-aware),205.8,0.0,0.166,5000,7052,1000,0,0
DELAY-CC (latency-aware),201.4,0.0,0.222,5000,7052,1000,7052,0
DELAY-CC (latency-aware),202.1,0.0,0.166,5000,7052,1000,7052,0
DELAY-CC (latency-aware),207.4,0.0,0.162,5000,7052,1000,0,0
DELAY-CC (latency-aware),207.1,0.0,0.225,5000,7052,1000,7052,0
DELAY-CC (latency-aware),210.9,0.0,0.161,5000,7052,1000,7052,0
DELAY-CC (latency-aware),212.3,0.0,0.159,5000,7052,1000,0,0
DELAY-CC (latency-aware),207.6,0.0,0.225,5000,7052,1000,7052,0
DELAY-CC (latency-aware),203.9,0.0,0.154,5000,7052,1000,0,0
DELAY-CC (latency-aware),206.6,0.0,0.222,5000,7052,1000,7052,0
DELAY-CC (latency-aware),207.2,0.0,0.169,5000,7052,1000,7052,0
DELAY-CC (latency-aware),209.5,0.0,0.166,5000,7052,1000,0,0
DELAY-CC (latency-aware),206.5,0.0,0.206,5000,7052,1000,7052,0
